idx,license,mapping_type,map_name
7603011,MIT,spdx_id,MapFuzzyMatch
7668546,BSD-1-Clause,spdx_id,MapFuzzyMatch
4522824,MIT,spdx_id,MapFuzzyMatch
6161229,ISO-permission,spdx_id,MapFuzzyMatch
3801943,ISO-permission,spdx_id,MapFuzzyMatch
7144286,MIT,spdx_id,MapFuzzyMatch
866,AGPL-3.0,spdx_id,MapExactID
3343211,Apache-1.1,spdx_id,MapFuzzyMatch
2360190,MIT,spdx_id,MapFuzzyMatch
4195198,MIT,spdx_id,MapFuzzyMatch
525186,MIT,spdx_id,MapFuzzyMatch
2884482,Apache-1.0,spdx_id,MapFuzzyMatch
900,AGPL,license_family,MapLicenseFamily
2950021,ISO-permission,spdx_id,MapFuzzyMatch
910,EPL-2.0,spdx_id,MapExactMatch
4195214,MIT,spdx_id,MapFuzzyMatch
525203,MIT,spdx_id,MapFuzzyMatch
5309332,ISO-permission,spdx_id,MapFuzzyMatch
6357907,MIT,spdx_id,MapFuzzyMatch
525206,MIT,spdx_id,MapFuzzyMatch
525207,Apache-2.0,spdx_id,MapFuzzyMatch
3343258,MIT,spdx_id,MapFuzzyMatch
7472028,Apache-1.0,spdx_id,MapFuzzyMatch
7144352,BSD-1-Clause,spdx_id,MapFuzzyMatch
3998626,MIT,spdx_id,MapFuzzyMatch
5309347,MIT,spdx_id,MapFuzzyMatch
2556837,MIT,spdx_id,MapFuzzyMatch
2556842,MIT,spdx_id,MapFuzzyMatch
3408815,MIT,spdx_id,MapFuzzyMatch
721841,MIT,spdx_id,MapFuzzyMatch
2753459,BSD-1-Clause,spdx_id,MapFuzzyMatch
4457404,NetCDF,spdx_id,MapFuzzyMatch
721856,ISO-permission,spdx_id,MapFuzzyMatch
1901508,GPL-3.0,spdx_id,MapFuzzyMatch
6620110,MIT,spdx_id,MapFuzzyMatch
2753492,CC-BY-1.0,spdx_id,MapFuzzyMatch
3277785,MIT,spdx_id,MapFuzzyMatch
3802073,MIT,spdx_id,MapFuzzyMatch
1442780,CECILL-1.1,spdx_id,MapFuzzyMatch
4195297,MIT,spdx_id,MapFuzzyMatch
6161380,BSD-Source-Code,spdx_id,MapFuzzyMatch
197605,AFL-1.1,spdx_id,MapFuzzyMatch
6489060,Apache-2.0,spdx_id,MapFuzzyMatch
7472113,MIT,spdx_id,MapFuzzyMatch
3539955,MIT,spdx_id,MapFuzzyMatch
5833716,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
656382,MIT,spdx_id,MapFuzzyMatch
3343360,MIT,spdx_id,MapFuzzyMatch
3736578,Apache-2.0,spdx_id,MapFuzzyMatch
1032,GPL,license_family,MapLicenseFamily
2163722,MIT,spdx_id,MapFuzzyMatch
7472149,MIT,spdx_id,MapFuzzyMatch
3998742,MIT,spdx_id,MapFuzzyMatch
2950168,MIT,spdx_id,MapFuzzyMatch
5047328,MIT,spdx_id,MapFuzzyMatch
6489121,MIT,spdx_id,MapFuzzyMatch
3474467,,unknown,MapNA
1836070,MIT,spdx_id,MapFuzzyMatch
7210023,MIT,spdx_id,MapFuzzyMatch
1836072,MIT,spdx_id,MapFuzzyMatch
7210024,MIT,spdx_id,MapFuzzyMatch
7472168,MIT,spdx_id,MapFuzzyMatch
1377325,AGPL-3.0,spdx_id,MapFuzzyMatch
3015726,NIST-Software,spdx_id,MapFuzzyMatch
2884657,GPL-3.0,spdx_id,MapFuzzyMatch
4850739,MIT,spdx_id,MapFuzzyMatch
3933236,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
6292536,ISO-permission,spdx_id,MapFuzzyMatch
7472187,MIT,spdx_id,MapFuzzyMatch
5440573,WTFPL,spdx_id,MapExactMatch
2360388,MIT,spdx_id,MapFuzzyMatch
525392,MIT,spdx_id,MapFuzzyMatch
1105,MIT,spdx_id,MapFuzzyMatch
3605585,MIT,spdx_id,MapFuzzyMatch
5243987,CC-BY-4.0,spdx_id,MapFuzzyMatch
525400,MIT,spdx_id,MapFuzzyMatch
3540063,Apache-1.0,spdx_id,MapFuzzyMatch
6358116,ISO-permission,spdx_id,MapFuzzyMatch
1049701,Apache-2.0,spdx_id,MapFuzzyMatch
2229352,MIT,spdx_id,MapFuzzyMatch
525422,MIT,spdx_id,MapFuzzyMatch
6554733,MIT,spdx_id,MapFuzzyMatch
3998847,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
2557065,Apache-1.0,spdx_id,MapFuzzyMatch
3409034,BSD-1-Clause,spdx_id,MapFuzzyMatch
197772,AGPL-3.0,spdx_id,MapFuzzyMatch
3605647,Apache-1.0,spdx_id,MapFuzzyMatch
3015824,Unlicense,spdx_id,MapFuzzyMatch
4850835,BSD-Protection,spdx_id,MapFuzzyMatch
2229410,ISO-permission,spdx_id,MapFuzzyMatch
5112994,BSD-1-Clause,spdx_id,MapFuzzyMatch
5244068,MIT,spdx_id,MapFuzzyMatch
3409068,ISO-permission,spdx_id,MapFuzzyMatch
5440691,ISO-permission,spdx_id,MapFuzzyMatch
5637299,MIT,spdx_id,MapFuzzyMatch
7275704,MIT,spdx_id,MapFuzzyMatch
5768379,MIT,spdx_id,MapFuzzyMatch
2819260,MIT,spdx_id,MapFuzzyMatch
591037,MIT,spdx_id,MapFuzzyMatch
2950332,ISO-permission,spdx_id,MapFuzzyMatch
2294975,MIT,spdx_id,MapFuzzyMatch
3933376,BSD-1-Clause,spdx_id,MapFuzzyMatch
7210172,MIT,spdx_id,MapFuzzyMatch
7275710,GPL-2.0,spdx_id,MapFuzzyMatch
4195523,MIT,spdx_id,MapFuzzyMatch
2426054,MIT,spdx_id,MapFuzzyMatch
3671239,Apache-2.0,spdx_id,MapExactMatch
7341256,MIT,spdx_id,MapFuzzyMatch
4130000,MIT,spdx_id,MapFuzzyMatch
6292689,MIT,spdx_id,MapFuzzyMatch
3671262,MIT,spdx_id,MapFuzzyMatch
525535,ISO-permission,spdx_id,MapFuzzyMatch
5113054,AGPL-3.0,spdx_id,MapFuzzyMatch
1253,MIT,spdx_id,MapExactMatch
2950374,OSL-1.1,spdx_id,MapFuzzyMatch
1257,WTFPL,spdx_id,MapExactID
591082,ISO-permission,spdx_id,MapFuzzyMatch
3933433,MIT,spdx_id,MapFuzzyMatch
2557181,Apache-2.0,spdx_id,MapExactMatch
4457744,BSD-1-Clause,spdx_id,MapFuzzyMatch
4457747,ISO-permission,spdx_id,MapFuzzyMatch
5637399,MIT,spdx_id,MapFuzzyMatch
591129,MIT,spdx_id,MapFuzzyMatch
591130,ISO-permission,spdx_id,MapFuzzyMatch
328987,BSD-1-Clause,spdx_id,MapFuzzyMatch
3474716,BSD-1-Clause,spdx_id,MapFuzzyMatch
3474717,BSD-1-Clause,spdx_id,MapFuzzyMatch
3933467,MIT,spdx_id,MapFuzzyMatch
5506334,ANTLR-PD,spdx_id,MapFuzzyMatch
4457761,GPL-2.0-or-later,spdx_id,MapFuzzyMatch
2753827,MIT,spdx_id,MapFuzzyMatch
4457766,Apache-1.1,spdx_id,MapFuzzyMatch
6096168,MIT,spdx_id,MapFuzzyMatch
4523305,BSD-Source-Code,spdx_id,MapFuzzyMatch
5899561,Apache-2.0,spdx_id,MapFuzzyMatch
1330,ISO-permission,spdx_id,MapFuzzyMatch
3736882,MIT,spdx_id,MapFuzzyMatch
5637434,ISO-permission,spdx_id,MapFuzzyMatch
3736893,MIT,spdx_id,MapFuzzyMatch
2819394,CC-BY-3.0,spdx_id,MapFuzzyMatch
4457800,Apache-1.0,spdx_id,MapFuzzyMatch
329034,MIT,spdx_id,MapFuzzyMatch
4457814,Apache-1.0,spdx_id,MapFuzzyMatch
4457818,Apache-1.0,spdx_id,MapFuzzyMatch
329051,ISO-permission,spdx_id,MapFuzzyMatch
1378,MIT,spdx_id,MapFuzzyMatch
263523,MIT,spdx_id,MapFuzzyMatch
6096235,AGPL-3.0,spdx_id,MapFuzzyMatch
1390,MPL-2.0,spdx_id,MapExactID
2884976,MIT,spdx_id,MapFuzzyMatch
4457842,Apache-1.0,spdx_id,MapFuzzyMatch
656759,Apache-2.0,spdx_id,MapFuzzyMatch
4523387,MIT,spdx_id,MapFuzzyMatch
3933564,MIT,spdx_id,MapFuzzyMatch
3999107,LGPL-3.0,spdx_id,MapFuzzyMatch
6948239,MIT,spdx_id,MapFuzzyMatch
7603601,Apache-2.0,spdx_id,MapExactMatch
5113241,MIT,spdx_id,MapFuzzyMatch
