idx,license,mapping_type,map_name
325,,undetermined,MapExactMatch
5898565,,undetermined,MapNA
5898565,,undetermined,MapExactID
5898565,,undetermined,MapExactMatch
327,,undetermined,MapNA
327,,undetermined,MapExactID
327,,undetermined,MapExactMatch
1376584,,undetermined,MapNA
1376584,,undetermined,MapExactID
1376584,,undetermined,MapExactMatch
5898567,,undetermined,MapNA
7209290,,undetermined,MapNA
7209290,,undetermined,MapExactID
7209290,,undetermined,MapExactMatch
6291787,,undetermined,MapNA
6291787,,undetermined,MapExactID
6291787,,undetermined,MapExactMatch
332,,undetermined,MapNA
332,,undetermined,MapExactID
332,,undetermined,MapExactMatch
6553937,,undetermined,MapNA
6553937,,undetermined,MapExactID
6553937,,undetermined,MapExactMatch
5046619,,undetermined,MapNA
5046619,,undetermined,MapExactID
5046619,,undetermined,MapExactMatch
393566,,undetermined,MapNA
393566,,undetermined,MapExactID
393566,,undetermined,MapExactMatch
3735907,,undetermined,MapNA
3735907,,undetermined,MapExactID
3735907,,undetermined,MapExactMatch
5505384,,undetermined,MapNA
5505384,,undetermined,MapExactID
5505384,,undetermined,MapExactMatch
2359672,,undetermined,MapNA
2359672,,undetermined,MapExactID
2359672,,undetermined,MapExactMatch
382,,undetermined,MapNA
4850055,,undetermined,MapNA
4850055,,undetermined,MapExactID
4850055,,undetermined,MapExactMatch
328073,,undetermined,MapNA
7471499,,undetermined,MapNA
7471499,,undetermined,MapExactID
7471499,,undetermined,MapExactMatch
4587923,,undetermined,MapNA
4587923,,undetermined,MapExactID
4587923,,undetermined,MapExactMatch
1442197,,undetermined,MapNA
1442197,,undetermined,MapExactID
1442197,,undetermined,MapExactMatch
4587928,,undetermined,MapNA
4587928,,undetermined,MapExactID
4587928,,undetermined,MapExactMatch
4587929,,undetermined,MapNA
4587929,,undetermined,MapExactID
4587929,,undetermined,MapExactMatch
6947226,,undetermined,MapNA
6947226,,undetermined,MapExactID
6947226,,undetermined,MapExactMatch
3342753,,undetermined,MapNA
3342753,,undetermined,MapExactID
3342753,,undetermined,MapExactMatch
5046699,,undetermined,MapNA
5046699,,undetermined,MapExactID
5046699,,undetermined,MapExactMatch
5046709,,undetermined,MapNA
5046709,,undetermined,MapExactID
5046709,,undetermined,MapExactMatch
655798,,undetermined,MapNA
655798,,undetermined,MapExactID
655798,,undetermined,MapExactMatch
524728,,undetermined,MapNA
524728,,undetermined,MapExactID
524728,,undetermined,MapExactMatch
2884024,,undetermined,MapNA
2884024,,undetermined,MapExactID
2884024,,undetermined,MapExactMatch
3736000,,undetermined,MapNA
3736000,,undetermined,MapExactID
3736000,,undetermined,MapExactMatch
2949570,,undetermined,MapNA
2949570,,undetermined,MapExactID
2949570,,undetermined,MapExactMatch
4129220,,undetermined,MapNA
4129220,,undetermined,MapExactID
4129220,,undetermined,MapExactMatch
2884038,,undetermined,MapNA
2884038,,undetermined,MapExactID
2884038,,undetermined,MapExactMatch
2621895,,undetermined,MapNA
2621895,,undetermined,MapExactID
2621895,,undetermined,MapExactMatch
459217,,undetermined,MapNA
459217,,undetermined,MapExactID
459217,,undetermined,MapExactMatch
466,,undetermined,MapNA
466,,undetermined,MapExactID
466,,undetermined,MapExactMatch
7209431,,undetermined,MapNA
7209431,,undetermined,MapExactID
7209431,,undetermined,MapExactMatch
7012836,,undetermined,MapNA
7012836,,undetermined,MapExactID
7012836,,undetermined,MapExactMatch
2163173,,undetermined,MapNA
2163173,,undetermined,MapExactID
2163173,,undetermined,MapExactMatch
6357486,,undetermined,MapNA
6357486,,undetermined,MapExactID
6357486,,undetermined,MapExactMatch
2163197,,undetermined,MapNA
2163197,,undetermined,MapExactID
2163197,,undetermined,MapExactMatch
3801600,,undetermined,MapNA
3801600,,undetermined,MapExactID
3801600,,undetermined,MapExactMatch
2753029,,undetermined,MapNA
2753029,,undetermined,MapExactID
2753029,,undetermined,MapExactMatch
2163208,,undetermined,MapNA
2163208,,undetermined,MapExactID
2163208,,undetermined,MapExactMatch
1376786,,undetermined,MapNA
1376786,,undetermined,MapExactID
1376786,,undetermined,MapExactMatch
6226458,,undetermined,MapNA
6226458,,undetermined,MapExactID
6226458,,undetermined,MapExactMatch
4981275,,undetermined,MapNA
4981275,,undetermined,MapExactID
4981275,,undetermined,MapExactMatch
4981280,,undetermined,MapNA
4981280,,undetermined,MapExactID
4981280,,undetermined,MapExactMatch
1704481,,undetermined,MapNA
1704481,,undetermined,MapExactID
1704481,,undetermined,MapExactMatch
2228769,,undetermined,MapNA
2228769,,undetermined,MapExactID
2228769,,undetermined,MapExactMatch
655910,,undetermined,MapNA
655910,,undetermined,MapExactID
655910,,undetermined,MapExactMatch
5308966,,undetermined,MapNA
5308966,,undetermined,MapExactID
5308966,,undetermined,MapExactMatch
3867181,,undetermined,MapNA
3867181,,undetermined,MapExactID
3867181,,undetermined,MapExactMatch
4981293,,undetermined,MapNA
4981293,,undetermined,MapExactID
4981293,,undetermined,MapExactMatch
3801647,,undetermined,MapNA
3801647,,undetermined,MapExactID
3801647,,undetermined,MapExactMatch
4063791,,undetermined,MapNA
4063791,,undetermined,MapExactID
4063791,,undetermined,MapExactMatch
5702192,,undetermined,MapNA
5702192,,undetermined,MapExactID
5702192,,undetermined,MapExactMatch
563,,undetermined,MapNA
563,,undetermined,MapExactID
570,,undetermined,MapNA
570,,undetermined,MapExactID
570,,undetermined,MapExactMatch
4981318,,undetermined,MapNA
4981318,,undetermined,MapExactID
4981318,,undetermined,MapExactMatch
2753095,,undetermined,MapNA
2753095,,undetermined,MapExactID
2753095,,undetermined,MapExactMatch
459337,,undetermined,MapNA
459337,,undetermined,MapExactID
459337,,undetermined,MapExactMatch
2163283,,undetermined,MapNA
2163283,,undetermined,MapExactID
2163283,,undetermined,MapExactMatch
598,,undetermined,MapNA
598,,undetermined,MapExactID
598,,undetermined,MapExactMatch
5046872,,undetermined,MapNA
5046872,,undetermined,MapExactID
5046872,,undetermined,MapExactMatch
6292061,,undetermined,MapNA
6292061,,undetermined,MapExactID
6292061,,undetermined,MapExactMatch
2163295,,undetermined,MapNA
2163295,,undetermined,MapExactID
2163295,,undetermined,MapExactMatch
655969,,undetermined,MapNA
655969,,undetermined,MapExactID
655969,,undetermined,MapExactMatch
7209570,,undetermined,MapNA
7209570,,undetermined,MapExactID
7209570,,undetermined,MapExactMatch
7275108,,undetermined,MapNA
7275108,,undetermined,MapExactID
7275108,,undetermined,MapExactMatch
6488679,,undetermined,MapNA
6488679,,undetermined,MapExactID
6488679,,undetermined,MapExactMatch
4063855,,undetermined,MapNA
4063855,,undetermined,MapExactID
4063855,,undetermined,MapExactMatch
1442416,,undetermined,MapNA
1442416,,undetermined,MapExactID
1442416,,undetermined,MapExactMatch
2228848,,undetermined,MapNA
2228848,,undetermined,MapExactID
2228848,,undetermined,MapExactMatch
6619760,,undetermined,MapNA
6619760,,undetermined,MapExactID
6619760,,undetermined,MapExactMatch
524915,,undetermined,MapNA
524915,,undetermined,MapExactID
524915,,undetermined,MapExactMatch
1442425,,undetermined,MapNA
1442425,,undetermined,MapExactID
1442425,,undetermined,MapExactMatch
1049210,,undetermined,MapNA
1049210,,undetermined,MapExactID
1049210,,undetermined,MapExactMatch
4194939,,undetermined,MapNA
4194939,,undetermined,MapExactID
4194939,,undetermined,MapExactMatch
5243518,,undetermined,MapNA
5243518,,undetermined,MapExactID
5243518,,undetermined,MapExactMatch
3277439,,undetermined,MapNA
3277439,,undetermined,MapExactID
3277439,,undetermined,MapExactMatch
7078529,,undetermined,MapNA
7078529,,undetermined,MapExactID
7078529,,undetermined,MapExactMatch
3670658,,undetermined,MapNA
3670658,,undetermined,MapExactID
3670658,,undetermined,MapExactMatch
7340678,,undetermined,MapNA
7340678,,undetermined,MapExactID
7340678,,undetermined,MapExactMatch
5309066,,undetermined,MapNA
5309066,,undetermined,MapExactID
5309066,,undetermined,MapExactMatch
459410,,undetermined,MapNA
459410,,undetermined,MapExactID
459410,,undetermined,MapExactMatch
6423188,,undetermined,MapNA
6423188,,undetermined,MapExactID
6423188,,undetermined,MapExactMatch
4063903,,undetermined,MapNA
4063903,,undetermined,MapExactID
4063903,,undetermined,MapExactMatch
7340713,,undetermined,MapNA
7340713,,undetermined,MapExactID
7340713,,undetermined,MapExactMatch
3539637,,undetermined,MapNA
3539637,,undetermined,MapExactID
3539637,,undetermined,MapExactMatch
5898933,,undetermined,MapNA
5898933,,undetermined,MapExactID
5898933,,undetermined,MapExactMatch
3277501,,undetermined,MapNA
3277501,,undetermined,MapExactID
3277501,,undetermined,MapExactMatch
2622142,,undetermined,MapNA
2622142,,undetermined,MapExactID
2622142,,undetermined,MapExactMatch
2753218,,undetermined,MapNA
2753218,,undetermined,MapExactID
2753218,,undetermined,MapExactMatch
710,,undetermined,MapNA
710,,undetermined,MapExactID
710,,undetermined,MapExactMatch
1835719,,undetermined,MapNA
1835719,,undetermined,MapExactID
1835719,,undetermined,MapExactMatch
4457164,,undetermined,MapNA
4457164,,undetermined,MapExactID
4457164,,undetermined,MapExactMatch
4129485,,undetermined,MapNA
4129485,,undetermined,MapExactID
4129485,,undetermined,MapExactMatch
6423256,,undetermined,MapNA
6423256,,undetermined,MapExactID
6423256,,undetermined,MapExactMatch
3408601,,undetermined,MapNA
3408601,,undetermined,MapExactID
3408601,,undetermined,MapExactMatch
4981473,,undetermined,MapNA
4981473,,undetermined,MapExactID
4981473,,undetermined,MapExactMatch
131812,,undetermined,MapNA
131812,,undetermined,MapExactID
131812,,undetermined,MapExactMatch
3408618,,undetermined,MapNA
3408618,,undetermined,MapExactID
3408618,,undetermined,MapExactMatch
1049324,,undetermined,MapNA
1049324,,undetermined,MapExactID
1049324,,undetermined,MapExactMatch
6292209,,undetermined,MapNA
6292209,,undetermined,MapExactID
6292209,,undetermined,MapExactMatch
1049331,,undetermined,MapNA
1049331,,undetermined,MapExactID
1049331,,undetermined,MapExactMatch
328438,,undetermined,MapNA
328438,,undetermined,MapExactID
328438,,undetermined,MapExactMatch
393975,,undetermined,MapNA
393975,,undetermined,MapExactID
393975,,undetermined,MapExactMatch
7209726,,undetermined,MapNA
7209726,,undetermined,MapExactID
7209726,,undetermined,MapExactMatch
1114880,,undetermined,MapNA
1114880,,undetermined,MapExactID
1114880,,undetermined,MapExactMatch
1049345,,undetermined,MapNA
1049345,,undetermined,MapExactID
1049345,,undetermined,MapExactMatch
2228992,,undetermined,MapNA
2228992,,undetermined,MapExactID
2228992,,undetermined,MapExactMatch
5440260,,undetermined,MapNA
5440260,,undetermined,MapExactID
5440260,,undetermined,MapExactMatch
6095621,,undetermined,MapNA
6095621,,undetermined,MapExactID
6095621,,undetermined,MapExactMatch
525063,,undetermined,MapNA
525063,,undetermined,MapExactID
525063,,undetermined,MapExactMatch
1835785,,undetermined,MapNA
1835785,,undetermined,MapExactID
1835785,,undetermined,MapExactMatch
2163467,,undetermined,MapNA
2163467,,undetermined,MapExactID
2163467,,undetermined,MapExactMatch
66318,,undetermined,MapNA
4981524,,undetermined,MapNA
4981524,,undetermined,MapExactID
4981524,,undetermined,MapExactMatch
6554391,,undetermined,MapNA
6554391,,undetermined,MapExactID
6554391,,undetermined,MapExactMatch
6619933,,undetermined,MapNA
6619933,,undetermined,MapExactID
6619933,,undetermined,MapExactMatch
1704734,,undetermined,MapNA
1704734,,undetermined,MapExactID
1704734,,undetermined,MapExactMatch
1835806,,undetermined,MapNA
1835806,,undetermined,MapExactID
1835806,,undetermined,MapExactMatch
2753318,,undetermined,MapNA
2753318,,undetermined,MapExactID
2753318,,undetermined,MapExactMatch
66347,,undetermined,MapNA
66347,,undetermined,MapExactID
66347,,undetermined,MapExactMatch
5571377,,undetermined,MapNA
5571377,,undetermined,MapExactID
5571377,,undetermined,MapExactMatch
2294579,,undetermined,MapNA
2294579,,undetermined,MapExactID
2294579,,undetermined,MapExactMatch
3605302,,undetermined,MapNA
3605302,,undetermined,MapExactID
3605302,,undetermined,MapExactMatch
7602998,,undetermined,MapNA
7602998,,undetermined,MapExactID
7602998,,undetermined,MapExactMatch
4457276,,undetermined,MapNA
4457276,,undetermined,MapExactID
4457276,,undetermined,MapExactMatch
6161215,,undetermined,MapNA
6161215,,undetermined,MapExactID
6161215,,undetermined,MapExactMatch
832,,undetermined,MapNA
832,,undetermined,MapExactID
832,,undetermined,MapExactMatch
7209794,,undetermined,MapNA
7209794,,undetermined,MapExactID
7209794,,undetermined,MapExactMatch
7603011,,undetermined,MapNA
7603011,,undetermined,MapExactID
7603011,,undetermined,MapExactMatch
7668546,,undetermined,MapNA
7668546,,undetermined,MapExactID
7668546,,undetermined,MapExactMatch
4522824,,undetermined,MapNA
4522824,,undetermined,MapExactID
4522824,,undetermined,MapExactMatch
6161229,,undetermined,MapNA
6161229,,undetermined,MapExactID
6161229,,undetermined,MapExactMatch
3801943,,undetermined,MapNA
3801943,,undetermined,MapExactID
3801943,,undetermined,MapExactMatch
7144286,,undetermined,MapNA
7144286,,undetermined,MapExactID
7144286,,undetermined,MapExactMatch
866,,undetermined,MapNA
6161256,,undetermined,MapNA
6161256,,undetermined,MapExactID
6161256,,undetermined,MapExactMatch
3343211,,undetermined,MapNA
3343211,,undetermined,MapExactID
3343211,,undetermined,MapExactMatch
6161260,,undetermined,MapNA
6161260,,undetermined,MapExactID
6161260,,undetermined,MapExactMatch
131952,,undetermined,MapNA
131952,,undetermined,MapExactID
131952,,undetermined,MapExactMatch
5768061,,undetermined,MapNA
5768061,,undetermined,MapExactID
5768061,,undetermined,MapExactMatch
2360190,,undetermined,MapNA
2360190,,undetermined,MapExactID
2360190,,undetermined,MapExactMatch
4195198,,undetermined,MapNA
4195198,,undetermined,MapExactID
4195198,,undetermined,MapExactMatch
525186,,undetermined,MapNA
525186,,undetermined,MapExactID
525186,,undetermined,MapExactMatch
2884482,,undetermined,MapNA
2884482,,undetermined,MapExactID
2884482,,undetermined,MapExactMatch
900,,undetermined,MapNA
900,,undetermined,MapExactID
900,,undetermined,MapExactMatch
2950021,,undetermined,MapNA
2950021,,undetermined,MapExactID
2950021,,undetermined,MapExactMatch
910,,undetermined,MapNA
910,,undetermined,MapExactID
4195214,,undetermined,MapNA
4195214,,undetermined,MapExactID
4195214,,undetermined,MapExactMatch
525203,,undetermined,MapNA
525203,,undetermined,MapExactID
525203,,undetermined,MapExactMatch
5309332,,undetermined,MapNA
5309332,,undetermined,MapExactID
5309332,,undetermined,MapExactMatch
6357907,,undetermined,MapNA
6357907,,undetermined,MapExactID
6357907,,undetermined,MapExactMatch
525206,,undetermined,MapNA
525206,,undetermined,MapExactID
525206,,undetermined,MapExactMatch
525207,,undetermined,MapNA
525207,,undetermined,MapExactID
525207,,undetermined,MapExactMatch
3343258,,undetermined,MapNA
3343258,,undetermined,MapExactID
3343258,,undetermined,MapExactMatch
7472028,,undetermined,MapNA
7472028,,undetermined,MapExactID
7472028,,undetermined,MapExactMatch
2491293,,undetermined,MapNA
2491293,,undetermined,MapExactID
2491293,,undetermined,MapExactMatch
7144352,,undetermined,MapNA
7144352,,undetermined,MapExactID
7144352,,undetermined,MapExactMatch
3998626,,undetermined,MapNA
3998626,,undetermined,MapExactID
3998626,,undetermined,MapExactMatch
5309347,,undetermined,MapNA
5309347,,undetermined,MapExactID
5309347,,undetermined,MapExactMatch
2556837,,undetermined,MapNA
2556837,,undetermined,MapExactID
2556837,,undetermined,MapExactMatch
2556842,,undetermined,MapNA
2556842,,undetermined,MapExactID
2556842,,undetermined,MapExactMatch
3408815,,undetermined,MapNA
3408815,,undetermined,MapExactID
3408815,,undetermined,MapExactMatch
721841,,undetermined,MapNA
721841,,undetermined,MapExactID
721841,,undetermined,MapExactMatch
2753459,,undetermined,MapNA
2753459,,undetermined,MapExactID
2753459,,undetermined,MapExactMatch
4457404,,undetermined,MapNA
4457404,,undetermined,MapExactID
4457404,,undetermined,MapExactMatch
721856,,undetermined,MapNA
721856,,undetermined,MapExactID
721856,,undetermined,MapExactMatch
1901508,,undetermined,MapNA
1901508,,undetermined,MapExactID
1901508,,undetermined,MapExactMatch
6620110,,undetermined,MapNA
6620110,,undetermined,MapExactID
6620110,,undetermined,MapExactMatch
2753492,,undetermined,MapNA
2753492,,undetermined,MapExactID
2753492,,undetermined,MapExactMatch
3277785,,undetermined,MapNA
3277785,,undetermined,MapExactID
3277785,,undetermined,MapExactMatch
3802073,,undetermined,MapNA
3802073,,undetermined,MapExactID
3802073,,undetermined,MapExactMatch
1442780,,undetermined,MapNA
1442780,,undetermined,MapExactID
1442780,,undetermined,MapExactMatch
4195297,,undetermined,MapNA
4195297,,undetermined,MapExactID
4195297,,undetermined,MapExactMatch
66531,,undetermined,MapNA
66531,,undetermined,MapExactID
66531,,undetermined,MapExactMatch
6161380,,undetermined,MapNA
6161380,,undetermined,MapExactID
6161380,,undetermined,MapExactMatch
197605,,undetermined,MapNA
197605,,undetermined,MapExactID
197605,,undetermined,MapExactMatch
6489060,,undetermined,MapNA
6489060,,undetermined,MapExactID
6489060,,undetermined,MapExactMatch
7013353,,undetermined,MapNA
7013353,,undetermined,MapExactID
7013353,,undetermined,MapExactMatch
66540,,undetermined,MapNA
66540,,undetermined,MapExactID
66540,,undetermined,MapExactMatch
7472113,,undetermined,MapNA
7472113,,undetermined,MapExactID
7472113,,undetermined,MapExactMatch
394226,,undetermined,MapNA
394226,,undetermined,MapExactID
394226,,undetermined,MapExactMatch
3539955,,undetermined,MapNA
3539955,,undetermined,MapExactID
3539955,,undetermined,MapExactMatch
5833716,,undetermined,MapNA
5833716,,undetermined,MapExactID
5833716,,undetermined,MapExactMatch
197621,,undetermined,MapNA
197621,,undetermined,MapExactID
197621,,undetermined,MapExactMatch
656382,,undetermined,MapNA
656382,,undetermined,MapExactID
656382,,undetermined,MapExactMatch
3605502,,undetermined,MapNA
3605502,,undetermined,MapExactID
3605502,,undetermined,MapExactMatch
3343360,,undetermined,MapNA
3343360,,undetermined,MapExactID
3343360,,undetermined,MapExactMatch
3736578,,undetermined,MapNA
3736578,,undetermined,MapExactID
3736578,,undetermined,MapExactMatch
1032,,undetermined,MapNA
1032,,undetermined,MapExactID
1032,,undetermined,MapExactMatch
2163722,,undetermined,MapNA
2163722,,undetermined,MapExactID
2163722,,undetermined,MapExactMatch
7603210,,undetermined,MapNA
7603210,,undetermined,MapExactID
7603210,,undetermined,MapExactMatch
7472149,,undetermined,MapNA
7472149,,undetermined,MapExactID
7472149,,undetermined,MapExactMatch
3998742,,undetermined,MapNA
3998742,,undetermined,MapExactID
3998742,,undetermined,MapExactMatch
1048,,undetermined,MapNA
1048,,undetermined,MapExactID
1048,,undetermined,MapExactMatch
2950168,,undetermined,MapNA
2950168,,undetermined,MapExactID
